序号,题目,难度,分数,题型,选项(A),选项(B),选项(C),选项(D),选项(E),答案,
1,V9多联机可以搭配V8平台所有室内机使用。,,,是非题,是,否,,,,是,
2,V9多联机可以和V8标准系列室外机组合使用。,,,是非题,是,否,,,,否,
3,V9多联机全系列采用美的自主研发的喷气增焓涡旋式压缩机。,,,是非题,是,否,,,,否,
4,V9多联机电控盒防护等级IP68需要在出厂前定制实现。,,,是非题,是,否,,,,否,
5,美的V9多联机全系列采用三相平衡无零线设计，行业首创。,,,是非题,是,否,,,,否,
6,美的V9多联机单模块最大（）HP，最多（）台并联。,,,单选题,"42,3","42,4","46,4","46,3",,D,
7,V9多联机通过全系列四面换热器设计提升机组换热能力，实现真实环境（）℃制冷能力不衰减。,,,单选题,43,45,48,55,,A,
8,V9多联机新增的灵犀互动汉显小屏防护等级为（）。,,,单选题,IPX5,IP55,IP68,IP54,,B,
9,V9多联机实现过冷的主要部件是（）。,,,单选题,创新管路设计,冷媒微通道换热器,板式换热器,冷凝器,,C,
10,MDV9系列多联机具备超宽域室外机运行范围，制冷（），制热（-35～30℃)，轻松适应严苛的室外温度环境。,,,单选题,"（-20～58℃）
（-30～30℃)","（-20～60℃）
（-35～30℃)","（-15～58℃）
（-30～30℃)","（-20～60℃）
（-30～28℃)",,B,
11,MDV9系列多联机电压运行范围广，AC交流电压范围为（）交直流混动机型的直流电压范围为（）。适用于全球大部分地区，尤其对电压不稳定区域有良好的适应性。,,,单选题,"（260～490V）
（380～750V）","（260～490V）
（400～800V）","（266～496V）
（400～800V）","（266～496V）
（400～900V）",,C,
12,多联新风内机的运行温度是（）。,,,单选题,"制热：-30℃～10℃
制冷：5℃～55℃ ","制热：-30℃～20℃
制冷：5℃～55℃ ","制热：-15℃～20℃
制冷：10℃～43℃ ","制热：-5℃～16℃
制冷：20℃～43℃ ",,A,
13,V9的内外机配比范围为（），超过范围系统会报故障。,,,单选题,50～130%,80～110%,50～110%,80～130%,,A,
14,MDV9无界多联机采用的创新技术中，哪项用于解决电控发热密度增加的散热问题（）。,,,单选题,IP68等级电控防护,相变冷媒方式,G型换热器,纵向叠板技术,,B,
15,MDV9无界多联机的核心理念是（）。,,,单选题,因你无界，如你所见,节能管理，能源管理,光伏直流电改造,低温相变冷媒热管理技术,,A,
16,V9多联机电控全新升级设计，技术包含（）。,,,多选题,相变冷媒热管理,宽电压无零线,内置电表,全直流架构,,ABCD,
17,MDV9在可靠看得见方面对安装进行了创新设计包括（）。,,,多选题,全系列开门式面板设计,全直流架构,MDVLink通信,灵犀智慧屏,,ACD,
18,以下哪些技术是MDV9无界多联机的创新点？,,,多选题,"
全系列G型换热器","
IP68等级电控防护","
内置电表",支持交直流混动双输入,,ABCD,
19,MDV9交直流混动支持（）。,,,多选题,纯交流输入,纯直流输入,交直流混动双输入,储能设备改造,,ABC,
20,以下哪些品牌的大多联产品使用了“日立喷气增焓涡旋式压缩机”？,,,多选题,格力GMV9,海信M3,美的V9多联机,大金X10,,ABC,
21,23年款直流无刷风盘用的是哪种类型的温控器？,,,单选题,通讯类温控器,三速类温控器,非通讯类温控器,无源类温控器,,A,
22,25年款直流无刷风盘用的是哪种类型的温控器？,,,单选题,通讯类温控器,三速类温控器,非通讯类温控器,无源类温控器,,B,
23,现在在销售的交流风盘，接水盘是什么型的？,,,单选题,V型,U型,W型,L型,,A,
24,现在甲方要求交流风盘接入上位机系统，你应该怎么做？,,,单选题,定制主板带接口,选配非联网型三速温控器,选配联网型三速类温控器,选配联网型通讯类温控器,,C,
25,以下哪些类型是我们在销售的风盘,,,多选题,立式明装风盘,立式暗装风盘,三管制风盘,四管制风盘,,AD,
26,23年款直流无刷风盘不可以定制取消回风箱,,,是非题,正确,错误,,,,正确,
27,交流风盘可以现场更换接管左右接，但影响换热能力,,,是非题,正确,错误,,,,正确,
28,交流风盘可以现场更换回风形式（后回和下回），但影响换热能力,,,是非题,正确,错误,,,,错误,
29,现销的交流风盘可以接入哪个温控器?,,,单选题,海尔的三速温控器,美的的通讯类温控器,约克的通讯类温控器,格力的通讯类温控器,,A,
30,风盘应用在家庭场景时，哪个风盘应该被禁止选型。,,,单选题,FP-68-12pa,FP-102-12pa,FP-34-12pa,FP-204-12pa,,D,
31,变频H模块机130KW机组的水侧换热器类型是什么,,,单选题,套管,壳管,板换,高效罐,,C,
32,哪个系列可以机组内置水力模块,,,单选题,变频H模块130H2,定频H模块130H3(T),定频W模块130W,定频W模块65W,,A,
33,定频130H3(T)机组的水侧换热器类型是什么,,,单选题,套管,满液式壳管,板换,干式壳管,,D,
34,格力今年有个模块机新品势头很猛，它是多大能力，定频还是变频？,,,单选题,定频，130KW,定频，160KW,变频，150KW,变频，160KW,,D,
35,变频H模块机顶出风结构包含哪几个能力段,,,多选题,30kw,65KW,130KW,80KW,,BCD,
36,定频130H3(T)可以和130W共用一个线控器,,,是非题,正确,错误,,,,正确,
37,定频130H3(T)和130W共用一个线控器需要额外调试，并且是指定的线控器,,,是非题,正确,错误,,,,正确,
38,所有的模块机都可以接入i管家,,,是非题,正确,错误,,,,错误,
39,美的模块机的控制模式是？,,,单选题,出水控制,回水控制,出水/回水可选,流量控制,,A,
40,变频H模块130KW机组的压缩机是哪个品牌的？,,,单选题,美芝,日立,三菱,谷轮,,B,
41,模块机现在的综合能效系数是哪个？,,,单选题,APF,IPLV,CSPF,HSPF,,C,
42,新上市的VE750热水机是几级能效？,,,单选题,一级,二级,三级,四级,,A,
43,新上市的VE900热水机是几级能效？,,,单选题,一级,二级,三级,四级,,B,
44,常温型循环热水机一级能效COP要求值是？,,,单选题,A20W55工况下，COP＞4.6,A20W55工况下，COP≥4.6,A20W55工况下，COP＞4.4,A20W55工况下，COP≥4.4,,B,
